,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
381,Drama,Movie,Yogaraj But,2011,7.0,tt13906524
382,Drama,Movie,Prince,2011,4.0,tt13906938
383,Drama,Movie,Putra,2011,10.0,tt13906460
384,Drama,Movie,Achchu Mechchu,2011,11.0,tt13906344
385,Drama,Movie,Suicide,2011,2.0,tt13907158
386,Drama,Movie,Sri Naga Shakthi,2011,1.0,tt13907264
387,Drama,Movie,Olave Mandara,2011,1.0,tt13907206
388,Drama,Movie,Journey,2011,4.0,tt13906900
389,Drama,Movie,Maryade Ramanna,2011,9.0,tt13906502
390,Drama,Movie,Bhadra,2011,8.0,tt13906572
391,Drama,Movie,Chennamma IPS,2011,7.0,tt13906610
392,Drama,Movie,Gun,2011,2.0,tt13907030
393,Drama,Movie,Saacha,2011,2.0,tt13907016
394,Drama,Movie,Kanteerava,2011,1.0,tt13907220
395,Drama,Movie,1 Day,2011,2.0,tt13907164
396,Drama,Movie,Dushtaa,2011,,tt13906662
397,Drama,Movie,Maagiya Kaala,2011,6.0,tt13906704
398,Drama,Movie,Resistance,2011,11.0,tt1391116
399,Drama,Movie,Yondiradi Kuydiradi,2011,,tt13937768
400,Drama,Movie,Dispatch,2011,10.0,tt1394322
401,Drama,Movie,Sal,2012,5.0,tt1395065
402,Drama,Movie,Egression,2011,5.0,tt1400502
403,Drama,Movie,The Fields,2011,9.0,tt1401236
404,Drama,Movie,Aarambh,2011,2.0,tt14017846
405,Drama,Movie,Bob's New Suit,2011,6.0,tt1403129
406,Drama,Movie,A Date with Fear,2011,2.0,tt1403990
407,Drama,Movie,An Insignificant Harvey,2011,10.0,tt1404386
408,Drama,Movie,The Moth Diaries,2012,5.0,tt1407065
409,Drama,Movie,Arrugas,2012,1.0,tt1407052
410,Drama,Movie,Stillleben,2012,1.0,tt1408089
411,Drama,Movie,Campus Radio,2011,,tt1409006
412,Drama,Movie,Albor,2011,,tt14099204
413,Drama,Movie,Jin ling shi san chai,2011,12.0,tt1410063
414,Drama,Movie,Retreat,2012,4.0,tt1410051
415,Drama,Movie,The Best Exotic Marigold Hotel,2012,3.0,tt1412386
416,Drama,Movie,Ardha Gangu Ardha Gondya,2011,,tt14130008
417,Drama,Movie,Extinction: The G.M.O. Chronicles,2011,11.0,tt1416336
418,Drama,Movie,Kill the Irishman,2012,5.0,tt1416801
