0,1,2,3,4
Gavin Glennon,1957,"['Star Trek', 'Velvet Buzzsaw', 'Mad Men', '2008–2015 • 42 episodios', '1993']","['Localización', 'Reparto', 'Dirección de producción']",Sin Oscar
Gergo Danka,1977,"['Promesas del este', 'Nuclear Secrets', '2007 • 2 episodios', '2007', '2010']",['Reparto'],Sin oscar
Seham Haddad,No data,"['Caramel', 'Tannoura Maxi', 'Wanted - Matloubin', 'Beirut 6:07', '2020']",['Reparto'],Más en IMDbPro
Cynthia Stevenson,1962,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Chelsi Smith,No data,No data,No data,Sin oscar
Reynaldo Rey,1940,[''],"['Reparto', 'Guion', 'Equipos adicionales']",Sin oscar
María Valverde,1987,[''],"['Reparto', 'Producción']",Sin Oscar
Michael Quinn,No data,[''],"['Reparto', 'Especialistas']",Más en IMDbPro
Youssef Britel,No data,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Ed Begley Jr.,1949,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 7 premios Primetime Emmy
Paige Adkins,No data,"[""Stompin'"", 'Cuttin Da Mustard', 'L & X of A Single Angelino', '7,4']","['Reparto', 'Producción', 'Arte']",Sin oscar
Lucy Russell,1972,[''],"['Reparto', 'Producción']",Sin Oscar
Harry Herman,No data,"['The Judge', '1987 • 3 episodios', '2007', '2000', 'Mechanic']",['Reparto'],Sin oscar
Michelle Lombardo,1983,[''],"['Reparto', 'Producción', 'Guion y continuidad']",Sin oscar
Gbenga Akinnagbe,1978,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Kazuyuki Asano,1954,"['Kiyosu kaigi', 'Gantz', 'Arakawa Under the Bridge', '2011 • 10 episodios', '2011']",['Reparto'],Sin oscar
Tyler Shaw,1993,"['Tyler Shaw: Kiss Goodnight', 'The Meaning of Life', 'Tyler Shaw: By My Side', 'Tyler Shaw: It Happens All the Time']","['Reparto', 'Composición']",Sin Oscar
Susan Messing,No data,[''],['Reparto'],Más en IMDbPro
Hilary Angelo,febrero,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Gary Lane,No data,[''],"['Reparto', 'Producción', 'Dirección']",Más en IMDbPro
Norah Jones,1979,[''],"['Music Artist', 'Reparto', 'Música']",Sin Oscar
Chandler Rylko,agosto,[''],['Reparto'],Sin oscar
Scout Taylor-Compton,1989,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Mohammad Bakri,1953,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Jason Pennycooke,No data,[''],"['Reparto', 'Equipos adicionales', 'Banda sonora']",Más en IMDbPro
Keith Allen,1953,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Libby Mintz,1983,"['Una novata en un cuento de hadas', 'Guerra de cheerleaders', 'Habit', 'Modern Family', '2010 • 1 episodio']","['Reparto', 'Guion', 'Producción']",Sin oscar
Michael Kenneth Williams,1966,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Nominado para 5 premios Primetime Emmy
Tovah Feldshuh,1952,[''],"['Reparto', 'Producción', 'Banda sonora']",Nominado para 2 premios Primetime Emmy
Libertad Green,No data,"['Dawn of the Redneck Samurai', '4,2', '8,0', '3,0']","['Reparto', 'Equipos adicionales', 'Dirección']",Sin oscar
Jennifer Shirley,No data,[''],['Reparto'],Más en IMDbPro
Benoît Magimel,1974,[''],['Reparto'],Sin Oscar
Pablo Jimenez Rivera,No data,['Tijuana Makes Me Happy'],['Reparto'],Sin oscar
Benjamin Esdraffo,1972,"['Amor y amistad', 'Le cou de Clarisse', '2003', '2008', '2017']","['Composición', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Carlos Hipólito,1956,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Lukas L. Leszczynski,1981,"['Uden for kærligheden', 'Næste skridt', 'Snuppet']",['Reparto'],Sin oscar
Jimmy Yuill,1959,[''],"['Reparto', 'Equipos adicionales', 'Composición']",Sin Oscar
Minnie Driver,1970,[''],"['Reparto', 'Producción', 'Banda sonora']",Nominado para 1 premio Óscar
Vera Zima,1953,"['Oprosti za kung fu', 'Mecava', 'Operacija Barbarossa', '1990 • 5 episodios', '1997']",['Reparto'],Sin Oscar
Ry Russo-Young,noviembre,[''],"['Dirección', 'Producción', 'Guion']",Sin Oscar
Burak Altay,1980,"['Ben Bu Cihana Sigmazam', '2022–2023 • 33 episodios', 'Bülent', 'Serie de TV', '5,9']",['Reparto'],Sin oscar
Silvio Guindane,1983,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
George Buza,enero,[''],['Reparto'],Sin Oscar
Mabi Abele,No data,"['El pasado', 'La cámara oscura']",['Reparto'],Sin oscar
Dler Resul,No data,['Hoppet'],['Reparto'],Sin oscar
June Claman,1930,"['A las duras y a las maduras', 'Sensación de vivir', '1993 • 1 episodio', '2001', 'Judge Katherine K. Christopher']",['Reparto'],Sin oscar
Mike Bacarella,No data,[''],"['Reparto', 'Maquillaje']",Más en IMDbPro
