0,1,2,3
tt0119502,The Last Time I Committed Suicide,"5,5",43
tt0119687,Moe no Suzaku,"7,4",86
tt0119278,Chicago Cab,"6,4",56
tt0119331,Hunger - Sehnsucht nach Liebe,"6,1",NO DATA
tt0119349,The Ice Storm,"7,3",NO DATA
tt0119382,Inês de Portugal,"5,6",NO DATA
tt0119426,Joyride,"5,0",20
tt0119430,Jump the Gun,"7,3",NO DATA
tt0119407,Janku fudo,"5,8",NO DATA
tt0119637,The Maze,"5,6",NO DATA
tt0119578,Love! Valour! Compassion!,"7,0",71
tt0119948,Il principe di Homburg,"6,7",20
tt0119218,Goodbye America,"5,1",70
tt0119424,Jours de colère,"7,7",NO DATA
tt0119391,J'ai horreur de l'amour,"6,7",NO DATA
tt0119381,Inventing the Abbotts,"6,4",33
tt0119515,Legend of the Spirit Dog,"6,3",NO DATA
tt0119719,Mr. Vincent,"6,2",67
tt0119690,Mojo,"5,5",87
tt0119856,Papertrail,"4,5",NO DATA
tt0119844,Ossos,"6,9",NO DATA
tt0119853,Un air si pur...,"6,7",NO DATA
tt0120690,"A Gun, a Car, a Blonde","5,2",6
tt0119737,Mutual Needs,"4,6",NO DATA
tt0119860,Parasaito Ivu,"5,7",NO DATA
tt0119664,Metro,"5,6",17
tt0119940,Academy Boyz,"6,8",9
tt0122082,Gadjo dilo,"7,6",81
tt0119855,Les palmes de M. Schutz,"6,9",NO DATA
tt0119917,"Pondichéry, dernier comptoir des Indes","4,1",NO DATA
tt0119665,Metroland,"6,3",NO DATA
tt0119623,Marquise,"5,9",41
tt0119809,Nowhere,"6,5",50
tt0119832,One Night Stand,"5,9",59
tt0119893,Photographing Fairies,"6,8",82
tt0119951,Private Parts,"6,9",73
tt0119836,Onibi,"6,7",40
tt0119794,Nirvana,"6,1",67
tt0119923,Post coïtum animal triste,"5,8",5
tt0119731,Murder at 1600,"6,1",32
tt0119818,Liang ge zhi neng huo yi ge,"6,6",NO DATA
tt0119843,Oscar and Lucinda,"6,6",67
tt0119920,Port Djema,"6,1",NO DATA
tt0119896,Picture Perfect,"5,5",NO DATA
tt0119926,Posutoman burûsu,"7,4",NO DATA
tt0119978,The Rainmaker,"7,2",NO DATA
tt0122246,The Seller,"7,6",NO DATA
tt0122563,Kagi,"6,2",NO DATA
tt0119987,The Real Blonde,"6,1",34
tt0119925,The Postman,"6,1",NO DATA
tt0120152,Smilla's Sense of Snow,"6,3",53
tt0120261,Szczesliwego Nowego Jorku,"6,1",NO DATA
tt0120346,Tôkyô yakyoku,"6,2",NO DATA
tt0120448,La vie de Jésus,"7,0",77
tt0120218,Det store flip,"5,5",NO DATA
tt0120277,Tano da morire,"6,4",NO DATA
tt0120366,Traveller,"6,1",79
tt0120371,Tren de sombras,"7,3",NO DATA
tt0120431,Välkommen till festen,"4,5",NO DATA
tt0120061,Sanning eller konsekvens,"5,2",6
tt0120087,The Second Jungle Book: Mowgli & Baloo,"4,5",26
tt0120116,Shier lou,"6,7",3
tt0120252,Svenska hjältar,"5,3",NO DATA
tt0120306,Tempête dans un verre d'eau,"6,0",NO DATA
tt0120315,Tetto Musashino-sen,"5,8",NO DATA
tt0120316,Thank God He Met Lizzie,"5,8",44
tt0120399,U Turn,"6,7",59
tt0120338,Titanic,"7,9",84
tt0120493,The Well,"6,1",56
tt0120142,The Sixth Man,"5,6",23
tt0120266,Taafé Fanga,"7,3",17
tt0120334,Ties to Rachel,"7,5",NO DATA
tt0120394,Twin Town,"6,7",46
tt0120401,The Ugly,"6,0",40
tt0120456,Virasat,"7,4",7
tt0120036,Rosewood,"7,2",87
tt0120196,Stand-ins,"4,8",NO DATA
tt0120303,Telling Lies in America,"6,2",61
tt0120066,Sara,"6,5",NO DATA
tt0120169,Soul Food,"7,0",82
tt0120256,Sweethearts,"6,2",67
tt0120408,Unagi,"7,3",NO DATA
tt0120177,Spawn,"5,2",100
tt0120443,Viagem ao Princípio do Mundo,"6,9",83
tt0120466,Anak ng bulkan,"7,1",NO DATA
tt0120197,Star Maps,"5,6",39
tt0120461,Volcano,"5,5",49
tt0119985,Raven's Ridge,"4,9",50
tt0120102,Seven Years in Tibet,"7,1",58
tt0120189,Spring för livet,"5,7",NO DATA
tt0120204,States of Control,"6,4",60
tt0120257,Swept from the Sea,"6,7",28
tt0120405,Un frère...,"6,4",100
tt0120402,Ulee's Gold,"7,0",NO DATA
tt0120250,Sus ojos se cerraron y el mundo sigue andando,"6,8",66
tt0120427,Vaiennut kylä,"5,6",NO DATA
tt0120095,Tinseltown,"4,7",NO DATA
tt0120115,Shi wan huo ji,"6,6",NO DATA
tt0120228,Striking Resemblance,"5,1",68
tt0120241,Suicide Kings,"6,9",NO DATA
tt0120230,Strip Search,"3,9",41
tt0120514,Wilde,"6,9",72
tt0120090,Secretos del corazón,"7,0",NO DATA
tt0120224,Strategic Command,"4,2",NO DATA
tt0120265,Ta'm e guilass,"7,7",83
tt0120379,Trouble on the Corner,"4,9",5
tt0120534,Wounded,"5,5",8
tt0120520,The Wings of the Dove,"7,1",NO DATA
tt0120526,Witman fiúk,"6,7",39
tt0120551,Ziddi,"5,9",NO DATA
tt0120833,Snide and Prejudice,"6,7",30
tt0120483,The Man Who Knew Too Little,"6,6",NO DATA
tt0120565,Ørnens øje,"6,2",NO DATA
tt0122173,Mere Sapno Ki Rani,"5,0",NO DATA
tt0120546,Yukai,"6,7",NO DATA
tt0119941,The Price of Kissing,"4,5",NO DATA
tt0120490,Welcome to Sarajevo,"6,7",NO DATA
tt0120540,Yes Boss,"6,7",58
tt0119746,The Myth of Fingerprints,"6,0",60
tt0119952,Priyatel pokoynika,"6,9",NO DATA
tt0120542,Yi sheng yi tai xi,"6,8",19
tt0120532,The Woodlanders,"6,2",NO DATA
tt0120481,Washington Square,"6,7",81
tt0119937,Prefontaine,"6,8",56
tt0120010,Retúr,"7,6",NO DATA
tt0120522,Winterschläfer,"7,2",NO DATA
tt0119997,Red Meat,"5,2",NO DATA
tt0119994,Red Corner,"6,3",NO DATA
tt0120084,The Sea Wolf,"4,4",40
tt0120885,Wag the Dog,"7,1",NO DATA
tt0120030,Romaine,"7,4",NO DATA
tt0120100,The Serpent's Kiss,"5,6",38
tt0120172,Soulmates,"6,6",NO DATA
tt0120158,Soleil,"5,7",NO DATA
tt0120063,Santo Stefano,"7,6",NO DATA
tt0120034,Roseanna's Grave,"7,1",38
tt0120211,Still Breathing,"6,5",62
tt0120001,Regeneration,"7,0",NO DATA
tt0120124,"Sinon, oui","7,0",NO DATA
tt0120094,Selena,"6,8",66
tt0119977,Raigyo,"5,6",NO DATA
tt0120112,She's So Lovely,"5,9",NO DATA
tt0120120,Shitsurakuen,"6,6",NO DATA
tt0122529,Henry Fool,"7,1",17
tt0120192,Stag,"5,6",40
tt0120176,The Spanish Prisoner,"7,2",89
tt0122436,La conciergerie,"5,7",NO DATA
tt0119990,One of Our Own,"6,0",NO DATA
tt0120062,Santa Fe,"5,0",NO DATA
tt0120134,Sin querer,"6,2",6
tt0120164,Song jia huang chao,"7,0",NO DATA
tt0120101,Setouchi munraito serenade,"6,6",NO DATA
tt0120275,The Tango Lesson,"6,7",NO DATA
tt0120412,The Underground,"4,7",40
tt0120354,Topless Women Talk About Their Lives,"6,7",NO DATA
tt0120307,Tentação,"6,1",NO DATA
tt0120410,Under ytan,"6,1",NO DATA
tt0120255,The Sweet Hereafter,"7,5",NO DATA
tt0120383,"Truth or Consequences, N.M.","6,3",38
tt0120566,Az út,"8,8",NO DATA
tt0120262,Szökés,"7,2",NO DATA
tt0120385,Tsumetai chi,"6,2",NO DATA
tt0120313,O Testamento do Senhor Napumoceno,"6,6",NO DATA
tt0120329,Tic Tac,"6,7",81
tt0120332,El tiempo de la felicidad,"6,5",7
tt0120358,Touch Me,"6,0",NO DATA
tt0120304,A Tempestade da Terra,"6,3",19
tt0120311,Territorio Comanche,"6,3",NO DATA
tt0120538,Ya pian zhan zheng,"6,4",NO DATA
tt0120323,A Thousand Acres,"6,1",NO DATA
tt0120357,Touch,"5,6",33
tt0122710,Shopping for Fangs,"5,9",50
tt0120409,Uncut,"5,6",83
tt0120441,I vesuviani,"5,8",NO DATA
tt0120244,Sunday,"6,7",52
tt0120322,This Just In...,NO DATA,NO DATA
tt0120391,TwentyFourSeven,"7,0",59
tt0120521,The Winter Guest,"6,8",NO DATA
tt0120259,Silvester Countdown,"6,4",4
tt0120451,Vildängel,"5,9",NO DATA
tt0122804,Yellow,"6,0",6
tt0120636,El color de las nubes,"6,6",NO DATA
tt0123302,Tokyo biyori,"6,8",NO DATA
tt0120739,Lover Girl,"5,2",NO DATA
tt0123167,Marthas Garten,"7,2",19
tt0123001,Broos,"6,5",NO DATA
tt0122187,Nappun yeonghwa,"6,4",NO DATA
tt0121325,Nesut menya koni,"6,9",NO DATA
tt0124295,The Big One,"7,1",NO DATA
tt0123868,Giro di lune tra terra e mare,"7,7",19
tt0123983,Kiss & Tell,"4,3",NO DATA
tt0122393,Baunsu ko gaurusu,"7,1",NO DATA
tt0124312,Cenizas del paraíso,"7,5",NO DATA
tt0124393,Diliryo,"6,8",NO DATA
tt0124653,The Girl with Brains in Her Feet,"6,7",5
tt0122739,Sunsets,"6,7",NO DATA
tt0123075,Fools,"6,8",34
tt0124268,100 Proof,"6,6",60
tt0123385,Artemisia,"6,7",92
tt0124282,Ang lalaki sa buhay ni Selya,"6,6",NO DATA
tt0123013,Clandestins,"7,1",NO DATA
tt0123059,O ergenis,"5,8",NO DATA
tt0125128,The Hanging Garden,"6,9",NO DATA
tt0122614,Minerva,"4,9",86
tt0123295,La terza luna,"6,3",NO DATA
tt0123953,The Lay of the Land,"5,1",NO DATA
tt0125122,Guo dao feng bi,"7,5",NO DATA
tt0123878,Halvveis til Haugesund,"6,2",NO DATA
tt0124115,Le septième ciel,"6,5",NO DATA
tt0123755,Cube,"7,1",NO DATA
tt0124137,Sparkler,"5,5",NO DATA
tt0123707,Combat de fauves,"6,3",NO DATA
tt0123817,Edge,"6,7",62
tt0125129,Ha Noi Mua Dong 46,"7,6",NO DATA
tt0124777,Latin Boys Go to Hell,"5,1",33
